城市,AQI,PM2.5,PM10,CO,NO2,O3/1h,O3/8h,SO2
佳木斯,7,3,6,0.44,5,9,10,4
三亚,9,3,6,0.4,11,16,16,3
南通,11,6,10,0.44,15,18,17,12
中山,11,3,6,0.57,12,23,21,3
惠州,12,5,10,0.54,11,27,23,5
东莞,13,6,12,0.68,23,14,7,6
黑河,13,5,12,0.27,7,12,11,3
呼伦贝尔,13,7,12,0.5,5,17,20,2
宁波,13,6,12,0.48,17,20,25,5
莆田,13,4,12,0.5,5,36,23,4
伊春,13,5,12,0.47,5,15,14,11
常熟,14,8,10,1.03,26,21,27,6
揭阳,14,4,11,0.78,6,33,27,4
黔西南州,14,5,13,0.4,14,36,23,11
西双版纳州,14,6,13,0.35,5,15,6,5
湛江,14,6,13,0.57,10,34,22,5
大兴安岭地区,15,10,5,0.5,9,26,26,10
广州,15,8,14,0.66,27,11,8,5
嘉兴,15,10,11,0.5,14,24,29,4
临夏州,15,9,14,0.65,17,46,21,15
茂名,15,4,12,0.6,13,26,28,4
南平,15,4,13,0.23,3,38,29,4
丹东,16,9,13,0.48,9,36,31,5
佛山,16,6,15,0.57,25,16,11,4
福州,16,4,15,0.77,8,27,19,4
汕头,16,3,7,0.47,7,36,30,6
双鸭山,16,8,15,0.3,4,6,5,4
台州,16,5,12,0.33,11,33,31,5
厦门,16,4,9,0.33,7,35,30,3
舟山,16,4,14,0.4,16,23,31,2
龙岩,17,7,16,0.57,13,20,12,6
上海,17,3,12,0.47,17,24,33,3
兴安盟,17,7,15,0.13,5,54,32,2
潮州,18,6,17,0.63,8,31,22,6
崇左,18,7,17,0.7,7,29,23,5
定西,18,5,17,0.65,20,44,25,5
红河州,18,11,17,0.47,4,45,33,11
林芝地区,18,4,16,0.35,6,51,35,3
文登,18,2,17,0.25,6,30,24,2
文山州,18,3,5,0.45,10,51,35,4
北海,19,2,13,0.4,6,40,36,6
毕节,19,7,15,0.35,5,58,22,7
大连,19,9,18,0.44,13,31,33,6
海门,19,11,16,0.57,16,29,36,5
普洱,19,8,18,0.4,8,25,17,6
温州,19,8,18,0.38,15,38,23,5
阳江,19,5,11,0.8,9,35,36,4
柳州,20,9,19,0.63,9,44,33,5
梅州,20,6,19,0.67,12,26,19,6
濮阳,20,4,10,0.48,12,63,32,2
黔南州,20,7,14,0.7,6,61,36,6
清远,20,8,19,0.57,17,29,22,6
汕尾,20,9,18,0.37,3,43,39,7
塔城地区,20,14,19,0.7,4,55,38,5
太仓,20,3,6,0.5,13,30,39,6
玉溪,20,13,19,0.53,16,39,31,7
阿勒泰地区,21,6,7,1.1,8,48,41,2
楚雄州,21,12,18,0.6,11,48,40,6
固原,21,5,6,0.63,10,57,40,6
昆山,21,0,5,0.6,14,30,40,6
三明,21,5,20,0.55,12,29,20,5
云浮,21,11,20,0.57,12,22,13,10
张家港,21,14,20,0.75,25,41,21,8
肇庆,21,12,20,0.43,18,31,20,11
珠海,21,3,6,0.48,10,44,40,2
遵义,21,8,20,0.53,11,49,29,7
博州,22,5,14,0.15,2,50,43,6
果洛州,22,7,9,0.7,12,60,43,30
海口,22,6,21,0.53,11,14,14,3
河源,22,6,21,0.67,12,27,18,5
内江,22,12,21,0.6,15,59,36,10
深圳,22,11,21,0.65,18,26,25,5
吴江,22,15,20,0.65,22,38,32,9
鹰潭,22,6,15,0.24,6,56,42,4
义乌,22,8,21,0.35,17,41,15,6
玉树州,22,5,21,0.4,5,48,38,8
长春,23,6,14,0.45,11,58,45,7
抚州,23,8,22,0.46,7,47,38,5
贺州,23,9,22,0.45,10,45,44,6
莱州,23,4,22,0.45,8,43,40,7
黔东南州,23,14,22,0.6,18,46,38,8
苏州,23,13,22,0.65,26,35,26,4
湘西州,23,12,22,0.7,8,59,15,5
白城,24,5,5,0.4,4,63,46,7
昌都,24,8,23,0.55,4,43,41,12
赣州,24,5,12,0.66,7,48,46,4
桂林,24,12,23,0.6,11,47,32,10
吉安,24,7,20,0.5,5,56,47,6
怒江州,24,9,23,1,17,17,24,4
威海,24,10,23,0.27,6,25,27,2
梧州,24,10,23,0.95,11,18,19,7
锡林郭勒盟,24,9,19,0.1,4,74,46,7
巴中,25,13,24,0.53,13,45,24,5
郴州,25,11,17,0.5,12,66,49,18
丽江,25,13,21,0.73,14,51,49,9
六盘水,25,11,13,0.24,10,54,48,6
南昌,25,16,24,0.39,10,50,33,6
乳山,25,5,24,0.55,5,45,36,4
天水,25,6,15,0.27,18,48,49,5
五家渠,25,15,0,0.6,10,57,48,7
永州,25,9,20,0.42,14,56,48,9
防城港,26,11,25,0.83,18,16,20,9
鸡西,26,11,25,0.43,12,79,50,4
连云港,26,7,25,0.42,12,39,37,5
林芝,26,13,25,0.5,8,30,29,7
泸州,26,11,25,0.6,19,61,30,9
钦州,26,8,25,0.7,13,26,17,8
滨州,27,16,26,0.43,14,35,16,4
临沧,27,11,26,0.85,15,16,14,9
临沂,27,9,26,0.67,13,34,26,3
南宁,27,11,26,0.61,15,25,18,5
齐齐哈尔,27,10,26,0.52,14,46,33,5
松原,27,5,24,0.6,5,84,33,1
无锡,27,15,26,0.66,21,46,24,5
盐城,27,14,26,0.4,9,43,41,7
安康,28,15,27,0.27,6,43,13,5
鞍山,28,8,22,0.76,12,62,54,4
安顺,28,9,16,0.38,5,77,54,4
保山,28,17,27,0.7,20,19,19,7
大理州,28,19,23,0.85,21,24,17,5
海南州,28,13,25,1,18,88,49,0
邯郸,28,14,27,0.53,19,50,31,5
杭州,28,10,27,0.56,17,43,23,5
江门,28,12,27,0.78,25,16,12,8
胶南,28,6,27,0.35,5,61,54,4
晋城,28,8,27,0.7,10,55,37,5
眉山,28,12,27,0.53,17,64,47,6
牡丹江,28,6,17,0.33,10,81,55,3
韶关,28,15,27,1.08,14,44,34,19
铜仁地区,28,13,27,0.5,15,50,19,6
新乡,28,14,19,0.7,28,29,54,9
信阳,28,10,27,0.45,7,75,23,4
延边州,28,10,27,0.5,9,82,41,9
百色,29,13,28,0.8,7,43,30,11
昌都地区,29,6,12,0.7,11,86,57,8
甘孜州,29,6,28,0.35,9,22,12,8
莱西,29,10,28,0.45,5,32,34,6
陇南,29,5,8,0.4,15,52,56,9
那曲地区,29,20,28,0.63,10,64,50,5
日喀则地区,29,6,27,0.35,2,68,56,5
通辽,29,14,28,0.15,18,59,48,6
延安,29,5,8,0.73,37,33,57,2
昭通,29,14,28,0.4,7,59,47,9
迪庆州,30,21,26,0.73,13,38,34,8
东营,30,16,29,0.27,7,44,36,6
河池,30,12,29,0.67,9,40,21,8
黄南州,30,16,29,0.5,12,44,23,9
黄山,30,8,29,0.63,6,87,38,5
昆明,30,12,29,0.67,19,44,29,8
丽水,30,9,29,0.5,15,36,17,5
日喀则,30,7,18,0.45,7,60,58,3
日照,30,6,29,0.15,11,27,32,5
三沙,30,7,20,0.3,30,51,58,6
寿光,30,11,29,0.4,15,31,25,8
乌兰察布,30,10,26,0.3,16,94,51,26
益阳,30,9,21,0.78,10,94,40,10
玉林,30,21,24,0.7,11,16,9,10
诸暨,30,13,29,0.5,13,40,24,3
白银,31,10,30,0.6,23,43,42,7
德宏州,31,16,30,0.87,20,11,15,10
德阳,31,15,30,0.57,15,72,39,6
甘南州,31,11,17,0.4,12,70,60,6
贵阳,31,13,30,0.59,14,62,40,6
哈尔滨,31,13,30,0.52,17,64,34,11
鹤壁,31,15,30,0.7,16,40,20,3
胶州,31,8,30,0.1,14,32,34,5
上饶,31,11,30,0.75,15,47,26,16
湘潭,31,18,30,0.59,14,57,33,8
资阳,31,8,30,0.56,19,91,43,10
昌吉州,32,9,18,0.43,10,77,62,4
重庆,32,15,31,0.64,27,47,23,8
大庆,32,13,31,0.48,10,78,41,4
乐山,32,16,31,0.5,14,80,59,3
吕梁,32,9,23,1.37,21,50,63,8
平度,32,10,31,0.35,7,28,34,7
青岛,32,6,31,0.33,8,28,25,4
荣成,32,19,31,0.4,5,31,26,5
宿迁,32,22,30,0.47,9,47,37,2
宣城,32,19,31,0.4,15,73,51,6
漳州,32,17,31,0.57,29,32,34,7
成都,33,14,29,0.67,20,71,65,6
广安,33,16,32,0.36,15,75,41,7
鹤岗,33,7,8,0.38,2,14,15,98
辽阳,33,10,28,0.98,21,50,64,6
曲靖,33,19,32,1.2,17,50,27,17
山南,33,18,32,0.35,17,48,55,8
铜川,33,22,32,0.8,11,69,46,6
潍坊,33,12,32,0.57,12,25,26,5
阿坝州,34,13,33,0.33,12,25,24,11
承德,34,6,33,0.5,26,54,20,10
淮安,34,10,33,0.42,10,40,28,6
来宾,34,14,33,0.6,7,42,23,16
本溪,35,14,34,1.1,23,45,33,6
洛阳,35,18,34,0.51,19,32,24,4
泉州,35,8,34,0.55,19,27,23,7
朔州,35,13,24,0.66,18,89,69,7
绥化,35,24,33,0.45,18,73,63,5
遂宁,35,17,34,0.43,16,74,33,11
太原,35,16,31,0.66,20,86,68,3
邢台,35,18,26,0.57,10,72,68,4
新余,35,19,34,0.8,17,37,22,15
雅安,35,24,26,0.5,16,28,37,7
枣庄,35,15,34,0.54,8,54,36,10
巴彦淖尔,36,13,23,0.5,7,110,70,10
广元,36,14,35,0.45,18,29,10,14
衡阳,36,17,35,0.62,16,53,33,10
吉林,36,13,18,0.69,8,79,71,7
晋中,36,24,29,0.53,15,98,71,3
克拉玛依,36,12,28,0.73,18,71,70,5
阳泉,36,25,31,0.84,15,85,68,5
宜春,36,21,35,0.71,11,47,41,9
张家界,36,15,35,0.5,17,62,29,3
郑州,36,14,35,0.63,24,50,43,2
长沙,37,17,36,0.62,14,71,36,9
长治,37,25,36,1.4,17,38,42,12
金华,37,11,36,0.47,10,50,31,4
吴忠,37,13,23,0.63,10,73,73,7
伊犁哈萨克州,37,16,36,0.9,11,74,49,11
招远,37,9,36,0.3,8,39,36,7
株洲,37,15,36,0.5,10,63,37,9
池州,38,22,37,0.53,19,79,50,10
贵港,38,18,37,0.55,14,19,16,8
汉中,38,12,37,0.65,10,35,10,4
